name,POINT_X,POINT_Y,x,y
SR-LK-1-6,"104.22154900000","-1.98122199960","413426.6540507","9780994.23154043"
184-1,"104.22102900000","-2.00802900014","413370.2224304","9778030.91427171"
184-2,"104.22107400000","-2.00788799993","413375.2198198","9778046.50305397"
184-3,"104.22114500000","-2.00765499998","413383.1039534","9778072.26301806"
182-1,"104.21600400000","-2.00864599981","412811.3873434","9777962.44290472"
182-2,"104.21609300000","-2.00886399997","412821.2972151","9777938.34952188"
182-3,"104.21611900000","-2.00907599986","412824.2001434","9777914.91606013"
110-1,"104.11682100000","-2.04910400035","401782.8058485","9773484.40281184"
110-2,"104.11666300000","-2.04925600016","401765.2427285","9773467.59035762"
110-3,"104.11654200000","-2.04943899961","401751.7965402","9773447.3533258"
111-1,"104.11918400000","-2.05262599999","402045.8270695","9773095.20949118"
111-2,"104.11898000000","-2.05264800011","402023.1400458","9773092.76500215"
111-3,"104.11877500000","-2.05268800015","402000.3428955","9773088.33065355"
95-1,"104.12677900000","-2.05331300019","402890.5625384","9773019.72863416"
95-2,"104.12655500000","-2.05325100003","402865.6462455","9773026.56879626"
95-3,"104.12634200000","-2.05323400015","402841.9559103","9773028.43509656"
96-1,"104.12417000000","-2.05648499988","402600.5896116","9772668.92300241"
96-2,"104.12420600000","-2.05669899986","402604.6063794","9772645.26869062"
96-3,"104.12422700000","-2.05691099974","402606.9547974","9772621.83456293"
154-1,"104.11900000000","-2.05673399967","402025.613425","9772641.08105974"
154-2,"104.11920800000","-2.05685800000","402048.7540819","9772627.38626009"
155-1,"104.11760100000","-2.06136099991","401870.3039478","9772129.50503449"
155-2,"104.11743900000","-2.06120499991","401852.2772593","9772146.74001737"
155-3,"104.11723400000","-2.06108599982","401829.4705948","9772159.88220779"
156-1,"104.11826300000","-2.06494199957","401944.1487128","9771733.68553086"
156-2,"104.11841700000","-2.06480899974","401961.2678779","9771748.39744542"
156-3,"104.11860600000","-2.06468100013","401982.2799061","9771762.55876602"
154-3,"104.11942200000","-2.05689099972","402072.5565169","9772623.75145062"
94-1,"104.13022300000","-2.05106299986","403273.4583248","9773268.66201729"
94-2,"104.13038400000","-2.05119999988","403291.3725174","9773253.52718048"
94-3,"104.13052700000","-2.05136000006","403307.2861897","9773235.84872009"
93-1,"104.13433100000","-2.04909800007","403730.2202323","9773486.12888164"
93-2,"104.13414800000","-2.04897099961","403709.8598904","9773500.15704121"
93-3,"104.13393400000","-2.04885699975","403686.0526337","9773512.74619634"
92-1,"104.13780100000","-2.04672100017","404116.0018352","9773749.10011816"
92-2,"104.13798900000","-2.04677499997","404136.9138199","9773743.14200062"
92-3,"104.13816500000","-2.04687600013","404156.4940274","9773731.98755448"
91-1,"104.14102500000","-2.04554099972","404474.4957957","9773879.73437281"
91-2,"104.14113100000","-2.04534499967","404486.2731565","9773901.40729699"
91-3,"104.14123300000","-2.04517299983","404497.6071511","9773920.42690399"
90-1,"104.14516900000","-2.04681900020","404935.4543383","9773738.70537538"
90-2,"104.14510400000","-2.04701600029","404928.236815","9773716.92438043"
89-1,"104.14927700000","-2.04817199964","405392.4123134","9773589.3827034"
89-2,"104.14937700000","-2.04800800017","405403.5243723","9773607.51771289"
89-3,"104.14948800000","-2.04782499982","405415.8587595","9773627.75379675"
87-1,"104.15799900000","-2.04984300025","406362.5400024","9773405.17668468"
87-2,"104.15796000000","-2.05000899982","406358.2122143","9773386.82423971"
87-3,"104.15788800000","-2.05022499988","406350.2172281","9773362.94263552"
85-1,"104.16303300000","-2.04474599993","406922.1084129","9773968.90938355"
85-2,"104.16290100000","-2.04464699986","406907.4221526","9773979.8455257"
85-3,"104.16273900000","-2.04456000034","406889.4000325","9773989.4533469"
83-1,"104.17042000000","-2.04279199975","407743.5523598","9774185.33694837"
83-2,"104.17045700000","-2.04295199993","407747.6764863","9774167.65215743"
83-3,"104.17049400000","-2.04319000012","407751.8050635","9774141.3450057"
81-1,"104.17527900000","-2.04282500037","408283.9545242","9774181.96707277"
81-2,"104.17523700000","-2.04299600017","408279.2931254","9774163.06185315"
81-3,"104.17518800000","-2.04322399989","408273.8565128","9774137.85529243"
82-1,"104.17507700000","-2.04200100015","408261.4420559","9774273.04296832"
82-2,"104.17502800000","-2.04182900031","408255.9827485","9774292.0535438"
82-3,"104.17493200000","-2.04162399985","408245.2943584","9774314.70942439"
77-1,"104.18330100000","-2.03738300033","409175.8254273","9774783.99619195"
77-2,"104.18340300000","-2.03752599973","409187.177537","9774768.1943976"
77-3,"104.18353400000","-2.03769400028","409201.7562701","9774749.63054217"
76-1,"104.18591000000","-2.03393699969","409465.7967205","9775165.07305621"
76-2,"104.18575500000","-2.03386399992","409448.5540821","9775173.13394987"
76-3,"104.18556100000","-2.03373899956","409426.9710935","9775186.94093882"
85-1,"104.16303300000","-2.04474599993","406922.1084129","9773968.90938355"
85-2,"104.16290100000","-2.04464699986","406907.4221526","9773979.8455257"
85-3,"104.16273900000","-2.04456000034","406889.4000325","9773989.4533469"
83-1,"104.17042000000","-2.04279199975","407743.5523598","9774185.33694837"
83-2,"104.17045700000","-2.04295199993","407747.6764863","9774167.65215743"
83-3,"104.17049400000","-2.04319000012","407751.8050635","9774141.3450057"
81-1,"104.17527900000","-2.04282500037","408283.9545242","9774181.96707277"
81-2,"104.17523700000","-2.04299600017","408279.2931254","9774163.06185315"
81-3,"104.17518800000","-2.04322399989","408273.8565128","9774137.85529243"
82-1,"104.17507700000","-2.04200100015","408261.4420559","9774273.04296832"
82-2,"104.17502800000","-2.04182900031","408255.9827485","9774292.0535438"
82-3,"104.17493200000","-2.04162399985","408245.2943584","9774314.70942439"
77-1,"104.18330100000","-2.03738300033","409175.8254273","9774783.99619195"
77-2,"104.18340300000","-2.03752599973","409187.177537","9774768.1943976"
77-3,"104.18353400000","-2.03769400028","409201.7562701","9774749.63054217"
76-1,"104.18591000000","-2.03393699969","409465.7967205","9775165.07305621"
76-2,"104.18575500000","-2.03386399992","409448.5540821","9775173.13394987"
76-3,"104.18556100000","-2.03373899956","409426.9710935","9775186.94093882"
90-3,"104.14502900000","-2.04721799971","404919.9074693","9773694.59014634"
195-1,"104.23176500000","-2.02248400034","414565.0045496","9776433.6032827"
195-2,"104.23196300000","-2.02246000013","414587.0240065","9776436.26671875"
195-3,"104.23213700000","-2.02230500018","414606.3676036","9776453.40978441"
196-1,"104.23258400000","-2.02375000026","414656.1567417","9776293.70097692"
196-2,"104.23240000000","-2.02384500015","414635.6979151","9776283.18987651"
196-3,"104.23221700000","-2.02395900001","414615.3513053","9776270.57854152"
197-1,"104.23489500000","-2.02443799961","414913.2127632","9776217.77000726"
197-3,"104.23486400000","-2.02402200022","414909.7434179","9776263.75350719"
197-2,"104.23487300000","-2.02424100042","414910.7557268","9776239.54540547"
199-2,"104.23795800000","-2.02321900006","415253.8037552","9776352.68012385"
162-1,"104.10996200000","-2.07742299957","401021.7148414","9770353.46040503"
162-2,"104.10982500000","-2.07729499996","401006.4703058","9770367.6015277"
162-3,"104.10972900000","-2.07709699983","400995.7812681","9770389.48342024"
163-1,"104.10803300000","-2.07800000010","400807.215537","9770289.55495975"
163-2,"104.10791800000","-2.07785399966","400794.416617","9770305.68735138"
163-3,"104.10775600000","-2.07767999973","400776.3888618","9770324.91199466"
164-1,"104.10589600000","-2.07902499970","400569.6114622","9770176.11202485"
164-2,"104.10591500000","-2.07921300028","400571.7363265","9770155.33069359"
164-3,"104.10593700000","-2.07943899991","400574.1972326","9770130.34894516"
165-1,"104.10391600000","-2.07938900030","400349.426896","9770135.74873718"
165-2,"104.10386300000","-2.07920299982","400343.5208157","9770156.30683085"
165-3,"104.10380200000","-2.07899199998","400336.7233988","9770179.62797568"
166-1,"104.10195800000","-2.08027399975","400131.7219442","9770037.79262996"
166-3,"104.10214100000","-2.08058399965","400152.0938763","9770003.53522714"
166-2,"104.10207500000","-2.08042400037","400144.7436307","9770021.21819384"
SI-LK-2-1,"104.05870900000","-2.03685300017","395318.8864042","9774835.02752553"
SI-LK-2-2,"104.05860600000","-2.03670899982","395307.4213988","9774850.9395598"
SI-LK-2-3,"104.05852200000","-2.03650400026","395298.0656353","9774873.59607415"
SI-LK-1-1,"104.05908200000","-2.03665299994","395360.3585433","9774857.16105528"
SI-LK-1-2,"104.05902200000","-2.03650300021","395353.6756449","9774873.73909226"
SI-LK-1-3,"104.05889400000","-2.03632300001","395339.4278859","9774893.62916135"
152-1,"104.06196700000","-2.03614800003","395681.1962013","9774913.17393584"
152-2,"104.06203100000","-2.03596399964","395688.3024869","9774933.51864312"
152-3,"104.06206900000","-2.03576100017","395692.515796","9774955.9619457"
151-3,"104.06412300000","-2.03620600001","395920.9905316","9774906.90159148"
151-2,"104.06408800000","-2.03641799989","395917.1114535","9774883.46353835"
151-1,"104.06400600000","-2.03656200024","395908.0006303","9774867.53954426"
142-1,"104.08099900000","-2.03655399987","397797.957889","9774869.51128863"
142-2,"104.08091500000","-2.03639499973","397788.6053989","9774887.08274896"
142-3,"104.08088300000","-2.03617000015","397785.0321313","9774911.95346339"
143-1,"104.07882700000","-2.03712800026","397556.4252565","9774805.92008996"
143-2,"104.07868700000","-2.03697799963","397540.8450238","9774822.49312841"
143-3,"104.07858000000","-2.03681600026","397528.9343451","9774840.39467685"
149-1,"104.06805600000","-2.03817399993","396358.5445917","9774689.60016907"
149-2,"104.06801400000","-2.03798800035","396353.8614486","9774710.15900177"
149-3,"104.06798700000","-2.03778499998","396350.8455928","9774732.59817089"
150-2,"104.06592900000","-2.03775300030","396121.9529935","9774736.00306056"
150-3,"104.06609900000","-2.03759600026","396140.8503893","9774753.3697787"
150-1,"104.06578900000","-2.03788099991","396106.3903932","9774721.84416194"
138-1,"104.06405700000","-2.03350400041","395913.4767018","9775205.59327065"
138-2,"104.06404400000","-2.03368799990","395912.0426637","9775185.25197775"
138-3,"104.06409500000","-2.03390700011","395917.7288933","9775161.04561373"
136-1,"104.06807000000","-2.03210799988","396359.7143706","9775360.17389897"
136-2,"104.06811200000","-2.03225500037","396364.3949086","9775343.9262595"
136-3,"104.06812600000","-2.03245299961","396365.9646895","9775322.03910927"
137-1,"104.06604300000","-2.03269499997","396134.3083311","9775295.15309583"
137-2,"104.06611100000","-2.03285200002","396141.881392","9775277.80171222"
137-3,"104.06611000000","-2.03310399995","396141.7862758","9775249.94401607"
141-1,"104.06217900000","-2.03496400029","395704.6988549","9775044.07446148"
141-2,"104.06239300000","-2.03509500003","395728.508394","9775029.60675642"
141-3,"104.06259600000","-2.03523600024","395751.0950923","9775014.03282501"
MC-LK-1-1,"104.09601100000","-2.08455400017","399470.5921163","9769564.28100144"
MC-LK-1-2,"104.09617100000","-2.08463700040","399488.3919163","9769555.11592625"
MC-LK-1-4,"104.09589900000","-2.08446599971","399458.1303977","9769574.00189207"
MC-LK-1-5,"104.09579100000","-2.08435900017","399446.1122552","9769585.82329715"
MC-LK-1-6,"104.09560100000","-2.08420000003","399424.971199","9769603.38789056"
167-1,"104.09999000000","-2.08089799974","399912.8884732","9769968.68774845"
167-2,"104.09993000000","-2.08073200018","399906.2050467","9769987.03439744"
167-3,"104.09985500000","-2.08052999986","399897.8511344","9770009.35980675"
168-1,"104.09795100000","-2.08145999958","399686.1547574","9769906.43182722"
168-2,"104.09806900000","-2.08161200029","399699.2878435","9769889.63637273"
168-3,"104.09826300000","-2.08178600022","399720.8747117","9769870.41384221"
MC-LK-2-4,"104.09607300000","-2.08415199962","399477.462007","9769608.72424151"
MC-LK-2-5,"104.09595200000","-2.08405200040","399463.9985378","9769619.77096569"
MC-LK-2-6,"104.09575400000","-2.08393699959","399441.9705061","9769632.47113067"
MC-LK-1-1,"104.09601100000","-2.08455400017","399470.5921163","9769564.28100144"
MC-LK-1-2,"104.09617100000","-2.08463700040","399488.3919163","9769555.11592625"
MC-LK-1-4,"104.09589900000","-2.08446599971","399458.1303977","9769574.00189207"
MC-LK-1-5,"104.09579100000","-2.08435900017","399446.1122552","9769585.82329715"
MC-LK-1-6,"104.09560100000","-2.08420000003","399424.971199","9769603.38789056"
167-1,"104.09999000000","-2.08089799974","399912.8884732","9769968.68774845"
167-2,"104.09993000000","-2.08073200018","399906.2050467","9769987.03439744"
167-3,"104.09985500000","-2.08052999986","399897.8511344","9770009.35980675"
168-1,"104.09795100000","-2.08145999958","399686.1547574","9769906.43182722"
168-2,"104.09806900000","-2.08161200029","399699.2878435","9769889.63637273"
168-3,"104.09826300000","-2.08178600022","399720.8747117","9769870.41384221"
MC-LK-2-4,"104.09607300000","-2.08415199962","399477.462007","9769608.72424151"
MC-LK-2-5,"104.09595200000","-2.08405200040","399463.9985378","9769619.77096569"
MC-LK-2-6,"104.09575400000","-2.08393699959","399441.9705061","9769632.47113067"
MC-LK-1-3,"104.09649600000","-2.08480800019","399524.5478301","9769536.23343919"
MC-LK-2-1,"104.09626200000","-2.08424400026","399498.4875856","9769598.56606042"
MC-LK-2-2,"104.09640800000","-2.08430400033","399514.7288352","9769591.94264848"
MC-LK-2-3,"104.09661500000","-2.08439299994","399537.7561928","9769582.11736354"
Ramin-1,"104.15238031000","-1.96874538649","405732.9993634","9782369.66591105"
Ramin-2,"104.15233800500","-1.96872499256","405728.2929723","9782371.91793556"
Ramin-3,"104.15221358300","-1.96866501138","405714.451133","9782378.54143164"
Ramin-4,"104.15200347500","-1.96856372344","405691.0768495","9782389.72627626"
Ramin-5,"104.15159348700","-1.96836607853","405645.4660258","9782411.55145065"
