Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
6/18/21;0;7;9;15;24;50
6/19/21;0;1;5;2;0;2
6/20/21;0;0;0;0;0;0
6/21/21;0;0;0;0;0;0
6/22/21;0;0;0;0;0;0
6/23/21;0;3;3;2;0;0
6/24/21;0;2;0;0;0;0
6/25/21;0;0;0;0;0;0
6/26/21;0;0;0;0;0;0
6/27/21;23;25;19;15;15;25
6/28/21;0;0;0;0;0;2
6/29/21;10;18;8.5;3;7;0
6/30/21;10;30;45;3;13;25
7/1/21;10;0;0;6;0;0
7/2/21;0;0;0;0;0;0
7/3/21;0;0;0;0;0;0
7/4/21;0;0;0;0;0;0
7/5/21;0;19;0;1;5;2
7/6/21;0;0;0;1;4;0
7/7/21;0;0;0;0;23;0
7/8/21;0;3;0;1;0;0
7/9/21;0;0;0;0;0;0
7/10/21;0;0;0;0;0;0
7/11/21;3;14;14.5;5;11;7
7/12/21;3;0;0;0;2;0
7/13/21;11;26;30;75;88;56
7/14/21;1;3;5;8;4;7
7/15/21;0;0;0;0;0;0
7/16/21;0;0;0;0;0;0
7/17/21;0;0;0;0;0;0
7/18/21;0;0;0;0;0;0
7/19/21;0;0;0;0;0;0
7/20/21;0;0;0;0;0;0
7/21/21;0;0;0;0;0;0
7/22/21;1;0;0;0;0;2
7/23/21;0;0;0;2;0;0
7/24/21;6;62;36.5;3;8;3
7/25/21;0;0;0;0;0;0
7/26/21;0;0;0;0;0;0
7/27/21;0;0;0;0;0;0
7/28/21;0;0;0;0;0;0
7/29/21;0;0;0;0;0;0
7/30/21;0;0;0;0;0;0
7/31/21;0;0;0;0;0;0
8/1/21;0;0;0;0;0;0
8/2/21;0;0;0;2;25;3
8/3/21;0;0;0;0;0;0
8/4/21;8;2;0;43;17;12
8/5/21;10;7;7;40;5;5
8/6/21;0;0;0;0;0;0
8/7/21;0;0;0;0;0;0
8/8/21;0;0;0;0;0;0
8/9/21;0;0;0;0;4;0
8/10/21;0;15;5;0;0;0
8/11/21;0;0;0;0;0;0
8/12/21;0;5;0;0;2;0
8/13/21;0;0;0;1;0;0
8/14/21;1;26;8.5;2;30;3
8/15/21;6;11;0;0;20;0
8/16/21;55;7;5;12;25;25
8/17/21;22;14;6;6;8;18
8/18/21;7;2;13.8;10;18;16
8/19/21;11;17;8;5;4;18.5
8/20/21;16;43;82;20;3;29.5
8/21/21;9;17;11;18;27;10
8/22/21;0;0;0;8;0;0
8/23/21;6;27;32;5;7;6.5
8/24/21;3;5;16;14;4;37
8/25/21;0;0;8;2;1;0
8/26/21;0;0;0;0;0;0.5
8/27/21;0;0;0;0;0;0
8/28/21;0;0;0;0;0;0
8/29/21;3;8;7.5;5;5;6
8/30/21;0;5;32;10;2;4
8/31/21;2;8;74;70;4;8.5
9/1/21;2;8;15;10;21;15
9/2/21;5;6;5;5;30;5
9/3/21;1;0;3;0;3;1
9/4/21;6;7;4.1;21;27;21
