ID,dataset_id,Longitude,Latitude,x,y
176-3,176-3,104.215295,-1.977922,412730.916100,9781358.691000
177-1,177-1,104.216996,-1.979347,412920.174900,9781201.259000
177-2,177-2,104.217066,-1.979181,412927.951600,9781219.612000
177-3,177-3,104.217176,-1.978987,412940.175600,9781241.063000
182-1,182-1,104.216004,-2.008646,412811.387300,9777962.443000
182-2,182-2,104.216093,-2.008864,412821.297200,9777938.350000
182-3,182-3,104.216119,-2.009076,412824.200100,9777914.916000
184-1,184-1,104.221029,-2.008029,413370.222400,9778030.914000
184-2,184-2,104.221074,-2.007888,413375.219800,9778046.503000
184-3,184-3,104.221145,-2.007655,413383.104000,9778072.263000
186-1,186-1,104.224978,-2.008231,413809.430400,9778008.794000
186-2,186-2,104.225092,-2.008428,413822.119500,9777987.023000
186-3,186-3,104.225131,-2.008556,413826.463700,9777972.876000
187-1,187-1,104.227946,-2.008041,414139.513300,9778029.953000
187-2,187-2,104.227989,-2.007901,414144.288300,9778045.431000
187-3,187-3,104.228076,-2.007680,414153.952700,9778069.865000
188-1,188-1,104.229972,-2.008222,414364.848700,9778010.051000
188-2,188-2,104.229837,-2.008378,414349.842600,9777992.799000
188-3,188-3,104.229729,-2.008520,414337.838500,9777977.097000
189-1,189-1,104.231971,-2.008182,414587.169700,9778014.577000
189-2,189-2,104.231956,-2.008011,414585.492600,9778033.479000
189-3,189-3,104.231961,-2.007788,414586.037100,9778058.130000
18-LK-1-1,18-LK-1-1,104.234521,-2.007970,414870.762300,9778038.145000
18-LK-1-2,18-LK-1-2,104.234621,-2.008100,414881.890700,9778023.780000
18-LK-1-3,18-LK-1-3,104.234755,-2.008277,414896.803000,9778004.221000
18-LK-1-4,18-LK-1-4,104.234446,-2.007912,414862.418000,9778044.552000
18-LK-1-5,18-LK-1-5,104.234337,-2.007757,414850.287300,9778061.681000
18-LK-1-6,18-LK-1-6,104.234203,-2.007591,414835.375700,9778080.024000
18-LK-2-1,18-LK-2-1,104.234908,-2.007746,414913.791700,9778062.926000
18-LK-2-2,18-LK-2-2,104.235036,-2.007874,414928.034100,9778048.784000
18-LK-2-3,18-LK-2-3,104.235195,-2.008051,414945.726800,9778029.226000
18-LK-2-4,18-LK-2-4,104.234829,-2.007672,414905.001700,9778071.102000
18-LK-2-5,18-LK-2-5,104.234706,-2.007532,414891.314800,9778086.572000
18-LK-2-6,18-LK-2-6,104.234551,-2.007344,414874.066400,9778107.345000
190-1,190-1,104.234132,-2.008235,414827.512600,9778008.831000
190-2,190-2,104.234202,-2.008406,414835.306600,9777989.932000
190-3,190-3,104.234259,-2.008613,414841.656700,9777967.053000
193-1,193-1,104.228000,-2.021004,414146.197800,9776597.006000
193-2,193-2,104.228015,-2.020755,414147.852900,9776624.532000
193-3,193-3,104.227990,-2.020607,414145.064700,9776640.891000
194-1,194-1,104.229952,-2.021507,414363.318400,9776541.507000
194-2,194-2,104.229958,-2.021578,414363.989400,9776533.659000
194-3,194-3,104.229938,-2.021778,414361.775600,9776511.549000
195-1,195-1,104.231765,-2.022484,414565.004500,9776433.603000
195-2,195-2,104.231963,-2.022460,414587.024100,9776436.267000
195-3,195-3,104.232137,-2.022305,414606.367600,9776453.410000
196-1,196-1,104.232584,-2.023750,414656.156700,9776293.701000
196-2,196-2,104.232400,-2.023845,414635.697900,9776283.190000
196-3,196-3,104.232217,-2.023959,414615.351300,9776270.579000
197-1,197-1,104.234895,-2.024438,414913.212800,9776217.770000
197-2,197-2,104.234873,-2.024241,414910.755800,9776239.545000
197-3,197-3,104.234864,-2.024022,414909.743400,9776263.754000
199-2,199-2,104.237958,-2.023219,415253.803800,9776352.680000
76-1,76-1,104.185910,-2.033937,409465.796700,9775165.073000
76-2,76-2,104.185755,-2.033864,409448.554100,9775173.134000
76-3,76-3,104.185561,-2.033739,409426.971100,9775186.941000
77-1,77-1,104.183301,-2.037383,409175.825400,9774783.996000
77-2,77-2,104.183403,-2.037526,409187.177500,9774768.194000
77-3,77-3,104.183534,-2.037694,409201.756200,9774749.631000
81-1,81-1,104.175279,-2.042825,408283.954500,9774181.967000
81-2,81-2,104.175237,-2.042996,408279.293100,9774163.062000
81-3,81-3,104.175188,-2.043224,408273.856500,9774137.855000
82-1,82-1,104.175077,-2.042001,408261.442100,9774273.043000
82-2,82-2,104.175028,-2.041829,408255.982700,9774292.054000
82-3,82-3,104.174932,-2.041624,408245.294300,9774314.709000
83-1,83-1,104.170420,-2.042792,407743.552400,9774185.337000
83-2,83-2,104.170457,-2.042952,407747.676500,9774167.652000
83-3,83-3,104.170494,-2.043190,407751.805100,9774141.345000
85-1,85-1,104.163033,-2.044746,406922.108400,9773968.909000
85-2,85-2,104.162901,-2.044647,406907.422100,9773979.846000
85-3,85-3,104.162739,-2.044560,406889.400000,9773989.453000
87-1,87-1,104.157999,-2.049843,406362.540000,9773405.177000
87-2,87-2,104.157960,-2.050009,406358.212200,9773386.824000
87-3,87-3,104.157888,-2.050225,406350.217200,9773362.943000
89-1,89-1,104.149277,-2.048172,405392.412400,9773589.383000
89-2,89-2,104.149377,-2.048008,405403.524400,9773607.518000
89-3,89-3,104.149488,-2.047825,405415.858700,9773627.754000
90-1,90-1,104.145169,-2.046819,404935.454300,9773738.705000
90-2,90-2,104.145104,-2.047016,404928.236900,9773716.924000
90-3,90-3,104.145029,-2.047218,404919.907500,9773694.590000
91-1,91-1,104.141025,-2.045541,404474.495800,9773879.734000
91-2,91-2,104.141131,-2.045345,404486.273200,9773901.407000
91-3,91-3,104.141233,-2.045173,404497.607100,9773920.427000
92-1,92-1,104.137801,-2.046721,404116.001800,9773749.100000
92-2,92-2,104.137989,-2.046775,404136.913800,9773743.142000
92-3,92-3,104.138165,-2.046876,404156.494000,9773731.988000
93-1,93-1,104.134331,-2.049098,403730.220200,9773486.129000
93-2,93-2,104.134148,-2.048971,403709.859900,9773500.157000
93-3,93-3,104.133934,-2.048857,403686.052700,9773512.746000
94-1,94-1,104.130223,-2.051063,403273.458400,9773268.662000
94-2,94-2,104.130384,-2.051200,403291.372500,9773253.527000
94-3,94-3,104.130527,-2.051360,403307.286200,9773235.849000
95-1,95-1,104.126779,-2.053313,402890.562500,9773019.729000
95-2,95-2,104.126555,-2.053251,402865.646200,9773026.569000
95-3,95-3,104.126342,-2.053234,402841.956000,9773028.435000
96-1,96-1,104.124170,-2.056485,402600.589600,9772668.923000
96-2,96-2,104.124206,-2.056699,402604.606400,9772645.269000
96-3,96-3,104.124227,-2.056911,402606.954800,9772621.835000
BU-LK-1-1,BU-LK-1-1,104.104058,-1.961327,400358.024100,9783186.921000
BU-LK-1-2,BU-LK-1-2,104.104231,-1.961277,400377.262900,9783192.459000
BU-LK-1-3,BU-LK-1-3,104.104388,-1.961194,400394.720100,9783201.643000
BU-LK-1-4,BU-LK-1-4,104.103994,-1.961365,400350.908100,9783182.717000
BU-LK-1-5,BU-LK-1-5,104.103871,-1.961448,400337.232400,9783173.534000
BU-LK-1-6,BU-LK-1-6,104.103647,-1.961571,400312.325600,9783159.924000
BU-LK-2-1,BU-LK-2-1,104.104000,-1.960946,400351.550600,9783229.035000
BU-LK-2-2,BU-LK-2-2,104.104151,-1.960896,400368.342500,9783234.572000
BU-LK-2-3,BU-LK-2-3,104.104374,-1.960834,400393.141700,9783241.439000
BU-LK-2-4,BU-LK-2-4,104.103887,-1.960965,400338.983400,9783226.928000
BU-LK-2-5,BU-LK-2-5,104.103731,-1.960987,400321.633800,9783224.487000
BU-LK-2-6,BU-LK-2-6,104.103437,-1.961073,400288.939100,9783214.963000
mc-lk-1-1,mc-lk-1-1,104.096011,-2.084554,399470.592100,9769564.281000
mc-lk-1-2,mc-lk-1-2,104.096171,-2.084637,399488.391900,9769555.116000
mc-lk-1-3,mc-lk-1-3,104.096496,-2.084808,399524.547800,9769536.233000
mc-lk-1-4,mc-lk-1-4,104.095899,-2.084466,399458.130300,9769574.002000
mc-lk-1-5,mc-lk-1-5,104.095791,-2.084359,399446.112300,9769585.823000
mc-lk-1-6,mc-lk-1-6,104.095601,-2.084200,399424.971200,9769603.388000
mc-lk-2-1,mc-lk-2-1,104.096262,-2.084244,399498.487600,9769598.566000
mc-lk-2-2,mc-lk-2-2,104.096408,-2.084304,399514.728900,9769591.943000
mc-lk-2-3,mc-lk-2-3,104.096615,-2.084393,399537.756200,9769582.117000
mc-lk-2-4,mc-lk-2-4,104.096073,-2.084152,399477.462000,9769608.724000
mc-lk-2-5,mc-lk-2-5,104.095952,-2.084052,399463.998500,9769619.771000
mc-lk-2-6,mc-lk-2-6,104.095754,-2.083937,399441.970500,9769632.471000
SI-LK-1-1,SI-LK-1-1,104.059082,-2.036653,395360.358600,9774857.161000
SI-LK-1-2,SI-LK-1-2,104.059022,-2.036503,395353.675700,9774873.739000
SI-LK-1-3,SI-LK-1-3,104.058894,-2.036323,395339.427900,9774893.629000
SI-LK-2-1,SI-LK-2-1,104.058709,-2.036853,395318.886400,9774835.028000
SI-LK-2-2,SI-LK-2-2,104.058606,-2.036709,395307.421400,9774850.940000
SI-LK-2-3,SI-LK-2-3,104.058522,-2.036504,395298.065600,9774873.596000
SL-LK-1-1,SR-LK-1-1,104.221302,-1.981776,413399.211700,9780932.979000
SL-LK-1-2,SR-LK-1-2,104.221228,-1.981916,413390.988800,9780917.499000
SL-LK-1-3,SR-LK-1-3,104.221160,-1.982127,413383.436900,9780894.171000
SL-LK-1-4,SR-LK-1-4,104.221372,-1.981574,413406.986600,9780955.312000
