ID,dataset_id,Longitude,Latitude
81-1,81-1,104.175279,-2.042825
81-2,81-2,104.175237,-2.042996
81-3,81-3,104.175188,-2.043224
82-1,82-1,104.175077,-2.042001
82-2,82-2,104.175028,-2.041829
82-3,82-3,104.174932,-2.041624
83-1,83-1,104.17042,-2.042792
83-2,83-2,104.170457,-2.042952
83-3,83-3,104.170494,-2.04319
85-1,85-1,104.163033,-2.044746
85-2,85-2,104.162901,-2.044647
85-3,85-3,104.162739,-2.04456
87-1,87-1,104.157999,-2.049843
87-2,87-2,104.15796,-2.050009
87-3,87-3,104.157888,-2.050225
89-1,89-1,104.149277,-2.048172
89-2,89-2,104.149377,-2.048008
89-3,89-3,104.149488,-2.047825
90-1,90-1,104.145169,-2.046819
90-2,90-2,104.145104,-2.047016
90-3,90-3,104.145029,-2.047218
91-1,91-1,104.141025,-2.045541
91-2,91-2,104.141131,-2.045345
91-3,91-3,104.141233,-2.045173
92-1,92-1,104.137801,-2.046721
92-2,92-2,104.137989,-2.046775
92-3,92-3,104.138165,-2.046876
93-1,93-1,104.134331,-2.049098
93-2,93-2,104.134148,-2.048971
93-3,93-3,104.133934,-2.048857
94-1,94-1,104.130223,-2.051063
94-2,94-2,104.130384,-2.0512
94-3,94-3,104.130527,-2.05136
95-1,95-1,104.126779,-2.053313
95-2,95-2,104.126555,-2.053251
95-3,95-3,104.126342,-2.053234
96-1,96-1,104.12417,-2.056485
96-2,96-2,104.124206,-2.056699
96-3,96-3,104.124227,-2.056911
BU-LK-1-1,BU-LK-1-1,104.104058,-1.961327
BU-LK-1-2,BU-LK-1-2,104.104231,-1.961277
BU-LK-1-3,BU-LK-1-3,104.104388,-1.961194
BU-LK-1-4,BU-LK-1-4,104.103994,-1.961365
BU-LK-1-5,BU-LK-1-5,104.103871,-1.961448
BU-LK-1-6,BU-LK-1-6,104.103647,-1.961571
BU-LK-2-1,BU-LK-2-1,104.104,-1.960946
BU-LK-2-2,BU-LK-2-2,104.104151,-1.960896
BU-LK-2-3,BU-LK-2-3,104.104374,-1.960834
BU-LK-2-4,BU-LK-2-4,104.103887,-1.960965
BU-LK-2-5,BU-LK-2-5,104.103731,-1.960987
BU-LK-2-6,BU-LK-2-6,104.103437,-1.961073
mc-lk-1-1,mc-lk-1-1,104.096011,-2.084554
mc-lk-1-2,mc-lk-1-2,104.096171,-2.084637
mc-lk-1-3,mc-lk-1-3,104.096496,-2.084808
mc-lk-1-4,mc-lk-1-4,104.095899,-2.084466
mc-lk-1-5,mc-lk-1-5,104.095791,-2.084359
mc-lk-1-6,mc-lk-1-6,104.095601,-2.0842
mc-lk-2-1,mc-lk-2-1,104.096262,-2.084244
mc-lk-2-2,mc-lk-2-2,104.096408,-2.084304
mc-lk-2-3,mc-lk-2-3,104.096615,-2.084393
mc-lk-2-4,mc-lk-2-4,104.096073,-2.084152
mc-lk-2-5,mc-lk-2-5,104.095952,-2.084052
mc-lk-2-6,mc-lk-2-6,104.095754,-2.083937
SI-LK-1-1,SI-LK-1-1,104.059082,-2.036653
SI-LK-1-2,SI-LK-1-2,104.059022,-2.036503
SI-LK-1-3,SI-LK-1-3,104.058894,-2.036323
SI-LK-2-1,SI-LK-2-1,104.058709,-2.036853
SI-LK-2-2,SI-LK-2-2,104.058606,-2.036709
SI-LK-2-3,SI-LK-2-3,104.058522,-2.036504
SL-LK-1-1,SR-LK-1-1,104.221302,-1.981776
SL-LK-1-2,SR-LK-1-2,104.221228,-1.981916
SL-LK-1-3,SR-LK-1-3,104.22116,-1.982127
SL-LK-1-4,SR-LK-1-4,104.221372,-1.981574
SL-LK-1-5,SR-LK-1-5,104.22146,-1.981403
SL-LK-1-6,SR-LK-1-6,104.221549,-1.981222
SL-LK-2-1,SR-LK-2-1,104.221735,-1.981939
SL-LK-2-2,SR-LK-2-2,104.221683,-1.982079
SL-LK-2-3,SR-LK-2-3,104.221629,-1.982284
SL-LK-2-4,SR-LK-2-4,104.221766,-1.981764
SL-LK-2-5,SR-LK-2-5,104.221863,-1.981623
SL-LK-2-6,SR-LK-2-6,104.222011,-1.981433
