Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
16/06/2021;2;2;2;2;2;2
17/06/2021;2;2;2;2;2;2
18/06/2021;2;2;2;2;2;2
19/06/2021;1;1;1;1;1;1
20/06/2021;2;2;2;2;2;2
21/06/2021;2;2;2;2;2;2
22/06/2021;2;2;2;2;2;2
23/06/2021;2;2;2;2;2;2
24/06/2021;2;2;2;2;2;2
25/06/2021;1;1;1;1;1;1
26/06/2021;2;2;2;2;2;2
27/06/2021;2;2;2;2;2;2
28/06/2021;2;2;2;2;2;2
29/06/2021;2;2;2;2;2;2
30/06/2021;2;2;2;2;2;2
01/07/2021;2;2;2;2;2;2
02/07/2021;2;2;2;2;2;2
03/07/2021;2;2;2;2;2;2
04/07/2021;2;2;2;2;2;2
05/07/2021;2;2;2;2;2;2
06/07/2021;2;2;2;2;2;2
07/07/2021;2;2;2;2;2;2
08/07/2021;2;2;2;2;2;2
09/07/2021;2;2;2;2;2;2
10/07/2021;2;2;2;2;2;2
11/07/2021;1;1;1;1;1;1
12/07/2021;2;2;2;2;2;2
13/07/2021;3;3;3;3;3;3
14/07/2021;2;2;2;2;2;2
15/07/2021;2;2;2;2;2;2
16/07/2021;2;2;2;2;2;2
17/07/2021;2;2;2;2;2;2
18/07/2021;2;2;2;2;2;2
19/07/2021;2;2;2;2;2;2
20/07/2021;2;2;2;2;2;2
21/07/2021;2;2;2;2;2;2
22/07/2021;2;2;2;2;2;2
23/07/2021;3;3;3;3;3;3
24/07/2021;2;2;2;2;2;2
25/07/2021;2;2;2;2;2;2
26/07/2021;2;2;2;2;2;2
27/07/2021;2;2;2;2;2;2
28/07/2021;2;2;2;2;2;2
29/07/2021;2;2;2;2;2;2
30/07/2021;2;2;2;2;2;2
31/07/2021;2;2;2;2;2;2
01/08/2021;2;2;2;2;2;2
02/08/2021;2;2;2;2;2;2
03/08/2021;2;2;2;2;2;2
04/08/2021;2;2;2;2;2;2
05/08/2021;2;2;2;2;2;2
06/08/2021;3;3;3;3;3;3
07/08/2021;2;2;2;2;2;2
08/08/2021;2;2;2;2;2;2
09/08/2021;2;2;2;2;2;2
10/08/2021;2;2;2;2;2;2
11/08/2021;3;3;3;3;3;3
12/08/2021;2;2;2;2;2;2
13/08/2021;2;2;2;2;2;2
14/08/2021;2;2;2;2;2;2
15/08/2021;2;2;2;2;2;2
16/08/2021;2;2;2;2;2;2
17/08/2021;2;2;2;2;2;2
18/08/2021;2;2;2;2;2;2
19/08/2021;2;2;2;2;2;2
20/08/2021;2;2;2;2;2;2
21/08/2021;2;2;2;2;2;2
22/08/2021;2;2;2;2;2;2
23/08/2021;2;2;2;2;2;2
24/08/2021;2;2;2;2;2;2
25/08/2021;2;2;2;2;2;2
26/08/2021;2;2;2;2;2;2
27/08/2021;2;2;2;2;2;2
28/08/2021;2;2;2;2;2;2
29/08/2021;3;3;3;3;3;3
30/08/2021;2;2;2;2;2;2
31/08/2021;2;2;2;2;2;2
01/09/2021;2;2;2;2;2;2
02/09/2021;2;2;2;2;2;2
03/09/2021;1;1;1;1;1;1
04/09/2021;2;2;2;2;2;2
05/09/2021;1;1;1;1;1;1
06/09/2021;2;2;2;2;2;2
07/09/2021;3;3;3;3;3;3
08/09/2021;1;1;1;1;1;1
09/09/2021;2;2;2;2;2;2
10/09/2021;2;2;2;2;2;2
11/09/2021;2;2;2;2;2;2
12/09/2021;2;2;2;2;2;2
13/09/2021;2;2;2;2;2;2
14/09/2021;1;1;1;1;1;1
15/09/2021;2;2;2;2;2;2
16/09/2021;2;2;2;2;2;2
17/09/2021;2;2;2;2;2;2
18/09/2021;2;2;2;2;2;2
19/09/2021;2;2;2;2;2;2
20/09/2021;2;2;2;2;2;2
21/09/2021;2;2;2;2;2;2
22/09/2021;2;2;2;2;2;2
23/09/2021;2;2;2;2;2;2
24/09/2021;2;2;2;2;2;2
25/09/2021;2;2;2;2;2;2
26/09/2021;2;2;2;2;2;2
27/09/2021;1;1;1;1;1;1
28/09/2021;2;2;2;2;2;2
29/09/2021;2;2;2;2;2;2
30/09/2021;2;2;2;2;2;2
01/10/2021;2;2;2;2;2;2
02/10/2021;2;2;2;2;2;2
03/10/2021;2;2;2;2;2;2
04/10/2021;2;2;2;2;2;2
05/10/2021;1;1;1;1;1;1
06/10/2021;2;2;2;2;2;2
07/10/2021;1;1;1;1;1;1
08/10/2021;2;2;2;2;2;2
09/10/2021;2;2;2;2;2;2
10/10/2021;2;2;2;2;2;2
11/10/2021;2;2;2;2;2;2
12/10/2021;2;2;2;2;2;2
13/10/2021;2;2;2;2;2;2
14/10/2021;2;2;2;2;2;2
15/10/2021;2;2;2;2;2;2
16/10/2021;2;2;2;2;2;2
17/10/2021;2;2;2;2;2;2
18/10/2021;2;2;2;2;2;2
19/10/2021;2;2;2;2;2;2
20/10/2021;3;3;3;3;3;3
21/10/2021;2;2;2;2;2;2
22/10/2021;1;1;1;1;1;1
23/10/2021;1;1;1;1;1;1
24/10/2021;2;2;2;2;2;2
25/10/2021;2;2;2;2;2;2
26/10/2021;2;2;2;2;2;2
