Month;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
Jan;20;20;20;21;18;21
Feb;19;19;20;22;15;20
Mar;20;21;20;20;18;22
Apr;20;20;20;20;18;21
May;21;22;20;21;19;20
Jun;21;20;20;20;18;20
Jul;20;20;20;19;18;20
Aug;20;20;20;20;17;20
Sep;21;20;20;20;17;20
Oct;21;22;20;20;18;20
Nov;21;22;20;20;17;20
Dec;23;22;21;21;18;18
