Month;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
Jan;29;25;26;25;28;25
Feb;35;25;25;26;22;28
Mar;36;25;25;24;21;30
Apr;42;28;25;27;25;30
May;35;26;26;26;22;25
Jun;33;25;25;25;21;25
Jul;38;25;25;25;21;25
Aug;35;28;24;25;24;25
Sep;40;25;25;25;21;25
Oct;36;25;25;34;21;30
Nov;39;29;27;24;21;30
Dec;35;25;25;25;23;25
