fid,name,dataset_id,Longitude,Latitude,x,y
"89",162-1,162-1,104.109962,-2.077423,401021.7149,9770353.46
"90",162-2,162-2,104.109825,-2.077295,401006.4703,9770367.602
"91",162-3,162-3,104.109729,-2.077097,400995.7813,9770389.483
"92",163-1,163-1,104.108033,-2.078,400807.2156,9770289.555
"93",163-2,163-2,104.107918,-2.077854,400794.4166,9770305.687
"94",163-3,163-3,104.107756,-2.07768,400776.3888,9770324.912
"95",136-1,136-1,104.06807,-2.032108,396359.7143,9775360.174
"96",136-2,136-2,104.068112,-2.032255,396364.3949,9775343.926
"97",136-3,136-3,104.068126,-2.032453,396365.9647,9775322.039
"98",137-1,137-1,104.066043,-2.032695,396134.3084,9775295.153
"99",137-2,137-2,104.066111,-2.032852,396141.8814,9775277.802
"100",137-3,137-3,104.06611,-2.033104,396141.7863,9775249.944
"101",138-1,138-1,104.064057,-2.033504,395913.4767,9775205.593
"102",138-2,138-2,104.064044,-2.033688,395912.0427,9775185.252
"103",138-3,138-3,104.064095,-2.033907,395917.7289,9775161.046
"104",149-1,149-1,104.068056,-2.038174,396358.5446,9774689.6
"105",149-2,149-2,104.068014,-2.037988,396353.8615,9774710.159
"106",149-3,149-3,104.067987,-2.037785,396350.8456,9774732.598
"107",150-1,150-1,104.065789,-2.037881,396106.3904,9774721.844
"108",150-2,150-2,104.065929,-2.037753,396121.953,9774736.003
"109",150-3,150-3,104.066099,-2.037596,396140.8503,9774753.37
"110",151-1,151-1,104.064006,-2.036562,395908.0006,9774867.54
"111",151-2,151-2,104.064088,-2.036418,395917.1114,9774883.464
"112",151-3,151-3,104.064123,-2.036206,395920.9905,9774906.902
"113",164-1,164-1,104.105896,-2.079025,400569.6115,9770176.112
"114",164-2,164-2,104.105915,-2.079213,400571.7363,9770155.331
"115",164-3,164-3,104.105937,-2.079439,400574.1972,9770130.349
"116",165-1,165-1,104.103916,-2.079389,400349.4269,9770135.749
"117",165-2,165-2,104.103863,-2.079203,400343.5208,9770156.307
"118",165-3,165-3,104.103802,-2.078992,400336.7234,9770179.628
"119",166-1,166-1,104.101958,-2.080274,400131.7219,9770037.793
"120",166-2,166-2,104.102075,-2.080424,400144.7436,9770021.218
"121",166-3,166-3,104.102141,-2.080584,400152.0939,9770003.535
"122",167-1,167-1,104.09999,-2.080898,399912.8884,9769968.688
"123",167-2,167-2,104.09993,-2.080732,399906.205,9769987.034
"124",167-3,167-3,104.099855,-2.08053,399897.8511,9770009.36
"125",168-1,168-1,104.097951,-2.08146,399686.1548,9769906.432
"126",168-2,168-2,104.098069,-2.081612,399699.2879,9769889.636
"127",168-3,168-3,104.098263,-2.081786,399720.8747,9769870.414
"128",mc-lk-1-1,mc-lk-1-1,104.096011,-2.084554,399470.5921,9769564.281
"129",mc-lk-1-2,mc-lk-1-2,104.096171,-2.084637,399488.3919,9769555.116
"130",mc-lk-1-3,mc-lk-1-3,104.096496,-2.084808,399524.5478,9769536.233
"131",mc-lk-1-4,mc-lk-1-4,104.095899,-2.084466,399458.1303,9769574.002
"132",mc-lk-1-5,mc-lk-1-5,104.095791,-2.084359,399446.1123,9769585.823
"133",mc-lk-1-6,mc-lk-1-6,104.095601,-2.0842,399424.9712,9769603.388
"134",mc-lk-2-1,mc-lk-2-1,104.096262,-2.084244,399498.4876,9769598.566
"135",mc-lk-2-2,mc-lk-2-2,104.096408,-2.084304,399514.7289,9769591.943
"136",mc-lk-2-3,mc-lk-2-3,104.096615,-2.084393,399537.7562,9769582.117
"137",mc-lk-2-4,mc-lk-2-4,104.096073,-2.084152,399477.462,9769608.724
"138",mc-lk-2-5,mc-lk-2-5,104.095952,-2.084052,399463.9985,9769619.771
"139",mc-lk-2-6,mc-lk-2-6,104.095754,-2.083937,399441.9705,9769632.471
"140",MC.1,Camp Induk-1,104.096429,-2.083851,399516.999957,9769642.000042
"141",MC.2,Camp Induk-2,104.09624,-2.083634,399496.000043,9769666.000014
"142",MC.3,Camp Induk-3,104.096069,-2.083471,399477.000042,9769683.999992
"143",MC.4,Camp Induk-4,104.09571,-2.083218,399437.00004,9769711.999997
"144",MC.5,Camp Induk-5,104.094982,-2.082683,399355.99998,9769770.999993
"145",141-1,141-1,104.062179,-2.034964,395704.6988,9775044.074
"146",141-2,141-2,104.062393,-2.035095,395728.5084,9775029.607
"147",141-3,141-3,104.062596,-2.035236,395751.0951,9775014.033
"148",152-1,152-1,104.061967,-2.036148,395681.1962,9774913.174
"149",152-2,152-2,104.062031,-2.035964,395688.3025,9774933.519
"150",152-3,152-3,104.062069,-2.035761,395692.5158,9774955.962
"151",SI-LK-1-1,SI-LK-1-1,104.059082,-2.036653,395360.3586,9774857.161
"152",SI-LK-1-2,SI-LK-1-2,104.059022,-2.036503,395353.6757,9774873.739
"153",SI-LK-1-3,SI-LK-1-3,104.058894,-2.036323,395339.4279,9774893.629
"154",SI-LK-2-1,SI-LK-2-1,104.058709,-2.036853,395318.8864,9774835.028
"155",SI-LK-2-2,SI-LK-2-2,104.058606,-2.036709,395307.4214,9774850.94
"156",SI-LK-2-3,SI-LK-2-3,104.058522,-2.036504,395298.0656,9774873.596
"157",SI.1,Sialang-1,104.059897,-2.036121,395451.000004,9774916.00001
"158",SI.2,Sialang-2,104.059799,-2.035985,395439.999951,9774930.999972
"159",SI.3,Sialang-3,104.059646,-2.035786,395423.000044,9774952.999955
"160",SI.4,Sialang-4,104.059385,-2.035397,395394.000047,9774996.00002
"161",SI.5,Sialang-5,104.058954,-2.034664,395346.000028,9775077.000049
